Dataset,ref_sp,ref_cs,clustalw_sp,clustalw_cs,muscle_sp,muscle_cs,t_coffee_sp,t_coffee_cs
BB40014,3826.0,153.0,3937,178,4228,251,467974,273
BB40015,21340.0,809.0,16655,1030,24313,3630,357179,235
BB40016,35565.0,53.0,35723,77,38492,448,132127,309
BB40017,35565.0,53.0,35723,77,38492,448,119010,70
BB40018,1340.0,1335.0,1341,1316,1433,1351,25436,147
BB40019,7267.0,1440.0,7141,1421,7425,1487,127552,4939
BB40020,46118.0,330.0,46483,626,48219,1061,54948,106
BB40021,25916.0,259.0,25833,208,26796,703,165527,310
BB40022,3256.0,202.0,3350,233,3890,534,7440,753
BB40023,26271.0,6892.0,25306,6493,28145,6827,46082,372
BB40024,38399.0,382.0,37672,277,43080,1406,47122,455
BB40025,7278.0,293.0,7169,288,7528,322,182054,671
BB40026,66184.0,555.0,64364,613,71735,1830,37081,68
BB40027,35941.0,1429.0,32979,1532,40676,2015,15995,320
BB40028,21043.0,235.0,20704,173,21695,308,300123,205
BB40029,10237.0,294.0,9892,281,10369,325,162481,96
BB40030,47514.0,225.0,47301,268,49526,799,46387,514
BB40031,36925.0,208.0,39416,220,40530,845,10235,313
BB40032,2129.0,158.0,2213,171,2461,304,383702,545
BB40033,17111.0,102.0,15460,179,18277,361,169841,171
BB40034,39278.0,197.0,38129,200,42190,706,30139,129
BB40035,35425.0,306.0,35904,360,38297,1304,43823,1235
BB40036,50301.0,226.0,50453,177,51753,312,540863,463
BB40037,29782.0,274.0,29069,474,33336,811,69646,439
BB40038,6503.0,2800.0,6236,2099,7112,3087,48390,1304
BB40039,99058.0,2127.0,97985,2174,101600,2574,197887,201
BB40040,39021.0,1018.0,36880,1437,40231,1928,12312,134
BB40041,34045.0,363.0,24881,680,36745,2031,59072,35
BB40042,29739.0,217.0,28466,728,30376,1359,116405,314
BB40043,7391.0,291.0,7570,309,8099,515,88313,55
BB40044,33683.0,82.0,33218,69,35096,983,54984,37
BB40045,1690.0,190.0,1483,205,1753,255,121008,673
BB40046,27775.0,731.0,26813,633,29910,1370,134936,489
BB40047,129401.0,3650.0,129764,3672,143311,4604,142152,422
BB40048,32661.0,368.0,33528,659,34265,1167,277366,696
BB40049,161796.0,411.0,158334,599,173312,3903,41130,143
BB50001,66000.0,73.0,62765,68,69766,264,837396,253
BB50002,3244.0,329.0,3348,181,4071,817,629545,291
BB50003,100667.0,670.0,93274,608,108109,1009,177376,2711
BB50004,5879.0,98.0,5841,90,5934,113,2807,1
BB50005,16339.0,279.0,16205,271,16449,329,2193,12
BB50006,184355.0,746.0,175244,469,199483,1886,462263,159
BB50007,8563.0,136.0,8867,125,9374,292,251218,112
BB50008,27203.0,394.0,26410,370,28389,504,107862,230
BB50009,39866.0,120.0,41050,51,43118,376,117762,57
BB50010,12631.0,125.0,11887,171,13402,424,25109,167
BB50011,46360.0,110.0,45571,70,50273,471,40099,73
BB50012,117865.0,244.0,113236,442,125059,2953,36617,51
BB50013,15655.0,74.0,15774,68,16121,98,85706,177
BB50014,72436.0,336.0,70935,308,73877,498,6866,9
BB50015,25365.0,410.0,23572,402,29580,900,27728,59
BB50016,12034.0,810.0,10833,183,12945,1149,21299,47
