Dataset,ClustalW_Time,ClustalW_Memory,MUSCLE_Time,MUSCLE_Memory,T-Coffee_Time,T-Coffee_Memory
BB11001.tfa,0.10098791122436523,344064,0.10178303718566895,348160,0.20174050331115723,44605440
BB11002.tfa,0.10147953033447266,348160,0.10126495361328125,282624,0.3022453784942627,46231552
BB11003.tfa,0.10123634338378906,176128,0.1011819839477539,159744,0.8039250373840332,48525312
BB11004.tfa,0.10124588012695312,348160,0.10077834129333496,348160,0.6026182174682617,43638784
BB11005.tfa,0.20113801956176758,3244032,0.5060927867889404,209948672,6.621551990509033,56008704
BB11006.tfa,0.10165882110595703,176128,0.10078024864196777,348160,0.9032952785491943,46542848
BB11007.tfa,0.20122623443603516,3735552,0.3014495372772217,125415424,2.909511089324951,51077120
BB11008.tfa,0.10087347030639648,348160,0.10126090049743652,339968,0.4015519618988037,46399488
BB11009.tfa,0.10151791572570801,176128,0.1013040542602539,176128,0.3017911911010742,45887488
BB11010.tfa,0.1014404296875,159744,0.20121002197265625,10756096,0.8032283782958984,48099328
BB11011.tfa,0.10073971748352051,344064,0.10101938247680664,462848,0.3010547161102295,43573248
BB11012.tfa,0.10121345520019531,327680,0.10116195678710938,335872,0.5022597312927246,44384256
BB11013.tfa,0.10149693489074707,417792,0.10105371475219727,339968,0.20149731636047363,45621248
BB11014.tfa,0.20152521133422852,3735552,0.20188403129577637,22327296,2.1083312034606934,51097600
BB11015.tfa,0.10163664817810059,335872,0.10114479064941406,348160,0.4019591808319092,46104576
BB11016.tfa,0.2018575668334961,3895296,0.30181241035461426,81223680,3.110398292541504,54239232
BB11017.tfa,0.10163569450378418,483328,0.10106182098388672,339968,0.3017916679382324,43511808
BB11018.tfa,0.5018556118011475,3870720,0.9085218906402588,386293760,12.038237810134888,62021632
BB11019.tfa,0.20171070098876953,3612672,0.20474743843078613,97456128,2.6084110736846924,50872320
BB11020.tfa,0.10155320167541504,348160,0.10161328315734863,348160,1.0032100677490234,48488448
BB11021.tfa,0.10129237174987793,0,0.10155916213989258,323584,0.20186471939086914,45330432
BB11022.tfa,0.1014854907989502,348160,0.1016080379486084,331776,0.20185542106628418,45289472
BB11023.tfa,0.10140800476074219,176128,0.2017836570739746,454656,1.1041967868804932,49614848
BB11024.tfa,0.10169744491577148,344064,0.10108661651611328,344064,0.6028196811676025,47071232
BB11025.tfa,0.10116362571716309,176128,0.10161900520324707,458752,0.20199894905090332,45232128
BB11026.tfa,0.10144758224487305,163840,0.20171093940734863,9461760,0.60312819480896,47906816
BB11027.tfa,0.10159921646118164,335872,0.10120487213134766,176128,0.7029662132263184,48037888
BB11028.tfa,0.10167241096496582,344064,0.10116004943847656,155648,0.7029929161071777,47312896
BB11029.tfa,0.10152339935302734,0,0.10148334503173828,331776,0.20183682441711426,45039616
BB11030.tfa,0.20161819458007812,3612672,0.30199098587036133,112504832,3.7112114429473877,53456896
BB11031.tfa,0.20162105560302734,3616768,0.30203890800476074,116486144,3.7113804817199707,54935552
BB11032.tfa,0.10116219520568848,339968,0.20204806327819824,35536896,1.3049407005310059,49524736
BB11033.tfa,0.10167646408081055,344064,0.10151362419128418,339968,0.8035311698913574,48373760
BB11034.tfa,0.20192837715148926,3702784,0.3016831874847412,87326720,3.210515260696411,52457472
BB11035.tfa,0.10157465934753418,348160,0.1014549732208252,176128,0.20171236991882324,45113344
BB11036.tfa,0.10144615173339844,163840,0.20212697982788086,57806848,1.906733751296997,51544064
BB11037.tfa,0.10140490531921387,339968,0.20192241668701172,15708160,1.3048841953277588,50671616
BB11038.tfa,0.10120868682861328,446464,0.2017381191253662,36261888,1.8060340881347656,50294784
