Dataset,ClustalW_Time,ClustalW_Memory,MUSCLE_Time,MUSCLE_Memory,T-Coffee_Time,T-Coffee_Memory
BBS11001.tfa,0.10129117965698242,479232,0.1015315055847168,331776,0.20179128646850586,44527616
BBS11002.tfa,0.10161757469177246,344064,0.10127091407775879,339968,0.20161914825439453,44261376
BBS11003.tfa,0.10153985023498535,344064,0.10119199752807617,176128,0.7035996913909912,47714304
BBS11004.tfa,0.10126805305480957,462848,0.10152268409729004,344064,0.6032252311706543,43646976
BBS11005.tfa,0.2018117904663086,3497984,0.40228867530822754,136962048,4.713366985321045,53710848
BBS11006.tfa,0.10158610343933105,348160,0.10120034217834473,348160,0.7032880783081055,46755840
BBS11007.tfa,0.2014620304107666,3571712,0.2051842212677002,105885696,2.6085081100463867,49815552
BBS11008.tfa,0.10168647766113281,348160,0.10167098045349121,0,0.20188570022583008,44605440
BBS11009.tfa,0.10167503356933594,348160,0.10126972198486328,344064,0.20169639587402344,44838912
BBS11010.tfa,0.10163664817810059,483328,0.10121011734008789,348160,0.20161652565002441,43548672
BBS11011.tfa,0.10154271125793457,0,0.10132193565368652,348160,0.30202269554138184,44994560
BBS11012.tfa,0.10145044326782227,282624,0.10125184059143066,421888,0.4021627902984619,43667456
BBS11013.tfa,0.1013641357421875,131072,0.10158443450927734,282624,0.20193028450012207,44642304
BBS11014.tfa,0.20192980766296387,3764224,0.20137453079223633,20160512,1.907217025756836,49807360
BBS11015.tfa,0.10119366645812988,348160,0.1014566421508789,348160,0.4021565914154053,46366720
BBS11016.tfa,0.10154867172241211,348160,0.20148134231567383,61521920,1.5060737133026123,48701440
BBS11017.tfa,0.1016397476196289,344064,0.10139679908752441,176128,0.30216169357299805,45985792
BBS11018.tfa,0.3020203113555908,3731456,0.5037729740142822,237404160,7.823215484619141,57147392
BBS11019.tfa,0.10145163536071777,323584,0.20270061492919922,90914816,2.5070817470550537,49152000
BBS11020.tfa,0.10156893730163574,348160,0.1014862060546875,176128,0.903057336807251,47931392
BBS11021.tfa,0.10147595405578613,348160,0.10146284103393555,327680,0.20187020301818848,44843008
BBS11022.tfa,0.10155868530273438,348160,0.10131025314331055,323584,0.2019040584564209,44728320
BBS11023.tfa,0.10144495964050293,172032,0.10142874717712402,348160,0.9036855697631836,48603136
BBS11024.tfa,0.10122227668762207,323584,0.10130739212036133,176128,0.4025993347167969,45981696
BBS11025.tfa,0.10165190696716309,344064,0.10158538818359375,331776,0.20177006721496582,44818432
BBS11026.tfa,0.10161876678466797,348160,0.1013345718383789,339968,0.20153331756591797,43593728
BBS11027.tfa,0.10154414176940918,348160,0.10134482383728027,331776,0.5022056102752686,43798528
BBS11028.tfa,0.10144472122192383,0,0.10111069679260254,462848,0.3018007278442383,43778048
BBS11029.tfa,0.10156726837158203,339968,0.10161638259887695,163840,0.2018272876739502,45006848
BBS11030.tfa,0.10154557228088379,348160,0.20165300369262695,42803200,1.7058212757110596,49090560
BBS11031.tfa,0.10129904747009277,335872,0.20125627517700195,89419776,2.6075398921966553,50130944
BBS11032.tfa,0.10126566886901855,348160,0.1010279655456543,323584,0.8034882545471191,46456832
BBS11033.tfa,0.10152077674865723,339968,0.10144972801208496,421888,0.4020543098449707,45846528
BBS11034.tfa,0.101409912109375,331776,0.2017660140991211,56872960,1.60502028465271,49795072
BBS11035.tfa,0.10171079635620117,311296,0.10151410102844238,344064,0.2018887996673584,44871680
BBS11036.tfa,0.10159540176391602,335872,0.20124316215515137,47321088,1.6054284572601318,50491392
BBS11037.tfa,0.10091924667358398,282624,0.10080242156982422,176128,0.8033783435821533,49446912
BBS11038.tfa,0.1008005142211914,335872,0.10086631774902344,176128,1.1034934520721436,49082368
