Dataset,ClustalW_Time,ClustalW_Memory,MUSCLE_Time,MUSCLE_Memory,T-Coffee_Time,T-Coffee_Memory
RF00164.fa,0.20170164108276367,3284992,0.10099053382873535,1290240,4.818937063217163,58368000
RF00165.fa,0.40213823318481445,3571712,0.20137357711791992,17707008,24.38556742668152,102817792
RF00182.fa,0.10139036178588867,348160,0.10146737098693848,348160,1.1042134761810303,45977600
RF00507.fa,1.8074061870574951,3895296,1.213698148727417,59842560,51.37699508666992,172744704
RF03116.fa,1.0042259693145752,3571712,2.5178990364074707,246276096,37.52464151382446,99987456
RF03117.fa,5.620962142944336,3956736,9.144333124160767,259407872,286.053275346756,323715072
RF03118.fa,0.10113048553466797,749568,0.10093283653259277,344064,0.702690839767456,45895680
RF03119.fa,0.10068631172180176,344064,0.2011256217956543,25546752,3.1101200580596924,51900416
RF03120.fa,3.6129353046417236,3633152,0.5036883354187012,106516480,104.84340929985046,93917184
RF03121.fa,1.0034983158111572,3440640,2.7210209369659424,214519808,36.21481537818909,95625216
RF03122.fa,8.127070665359497,3956736,6.929779052734375,260341760,375.85403513908386,379899904
RF03123.fa,0.10094857215881348,159744,0.10087823867797852,348160,1.4055750370025635,46567424
RF03124.fa,0.3021578788757324,3502080,0.3016324043273926,120848384,5.517889499664307,53805056
RF03125.fa,4.716994285583496,3702784,0.40288615226745605,93478912,140.1702253818512,101687296
