Dataset,ClustalW_Time,ClustalW_Memory,MUSCLE_Time,MUSCLE_Memory,T-Coffee_Time,T-Coffee_Memory
BBS12001.tfa,0.3022453784942627,3710976,0.30576133728027344,156946432,4.713639259338379,51544064
BBS12002.tfa,0.10164499282836914,0,0.10169053077697754,163840,0.40235280990600586,45506560
BBS12003.tfa,0.10150384902954102,348160,0.10129594802856445,348160,0.20180010795593262,44507136
BBS12004.tfa,0.20177268981933594,3424256,0.20182180404663086,72859648,2.9086174964904785,48742400
BBS12005.tfa,0.1015310287475586,172032,0.10154271125793457,0,0.8033699989318848,46493696
BBS12006.tfa,0.10132312774658203,327680,0.10211467742919922,163840,0.301999568939209,45756416
BBS12007.tfa,0.7030467987060547,4022272,0.7097141742706299,412131328,11.329533815383911,57868288
BBS12008.tfa,0.3019695281982422,3690496,0.30387139320373535,106733568,4.61260724067688,49614848
BBS12009.tfa,0.10165214538574219,344064,0.1015920639038086,331776,0.2018418312072754,44277760
BBS12010.tfa,0.10161328315734863,344064,0.10129880905151367,348160,1.0035715103149414,43835392
BBS12011.tfa,0.5023684501647949,3579904,0.503720760345459,258174976,9.93085765838623,55590912
BBS12012.tfa,0.10156083106994629,262144,0.1011800765991211,344064,0.40241432189941406,43773952
BBS12013.tfa,0.40236568450927734,3842048,0.40277719497680664,176967680,5.717066526412964,50982912
BBS12014.tfa,0.10150861740112305,327680,0.1016225814819336,331776,0.2019503116607666,44158976
BBS12015.tfa,0.1015768051147461,331776,0.1016230583190918,176128,0.6029379367828369,45948928
BBS12016.tfa,0.10115766525268555,176128,0.10143089294433594,348160,0.20179533958435059,44564480
BBS12017.tfa,0.20179009437561035,3768320,0.20206880569458008,43823104,2.1076302528381348,50339840
BBS12018.tfa,0.2016456127166748,3862528,0.30217456817626953,93175808,1.9063467979431152,52715520
BBS12019.tfa,0.10139179229736328,339968,0.20212244987487793,15974400,1.4057235717773438,47521792
BBS12020.tfa,0.1015324592590332,339968,0.10173988342285156,172032,0.20200347900390625,45006848
BBS12021.tfa,0.10160064697265625,348160,0.10133218765258789,176128,0.20162582397460938,44744704
BBS12022.tfa,0.10151100158691406,344064,0.10151505470275879,0,0.20180463790893555,44662784
BBS12023.tfa,0.20168137550354004,3944448,0.3034815788269043,24580096,2.207230567932129,49868800
BBS12024.tfa,0.10141706466674805,348160,0.10149145126342773,344064,0.30211377143859863,44986368
BBS12025.tfa,0.10165214538574219,475136,0.10116291046142578,348160,0.2019035816192627,44744704
BBS12026.tfa,0.2013251781463623,3162112,0.20329928398132324,68055040,4.410935878753662,49811456
BBS12027.tfa,0.10161137580871582,462848,0.1015017032623291,348160,1.6055846214294434,47169536
BBS12028.tfa,0.10146331787109375,176128,0.10144162178039551,176128,0.8035414218902588,46751744
BBS12029.tfa,0.10140848159790039,339968,0.2019660472869873,331776,2.2070491313934326,47747072
BBS12030.tfa,0.10152602195739746,335872,0.10120129585266113,167936,0.5027675628662109,45391872
BBS12031.tfa,0.9032869338989258,4161536,0.9092450141906738,427671552,15.941375494003296,56266752
BBS12032.tfa,0.10148763656616211,0,0.10121774673461914,339968,0.20168089866638184,43429888
BBS12033.tfa,0.10158538818359375,176128,0.10143661499023438,344064,1.104511022567749,44920832
BBS12034.tfa,0.10122489929199219,348160,0.1009378433227539,0,0.30190205574035645,43642880
BBS12035.tfa,0.3015017509460449,3174400,0.3058035373687744,63475712,7.217202425003052,53780480
BBS12036.tfa,0.10148358345031738,0,0.10126471519470215,348160,0.502382755279541,43679744
BBS12037.tfa,0.40228724479675293,3768320,0.4056220054626465,179744768,7.923377275466919,53256192
BBS12038.tfa,0.10158133506774902,323584,0.10157036781311035,167936,1.4050357341766357,47636480
BBS12039.tfa,0.10124850273132324,335872,0.1014559268951416,339968,0.3020048141479492,45142016
BBS12040.tfa,0.10148477554321289,167936,0.10126209259033203,315392,0.2016303539276123,43560960
BBS12041.tfa,0.10158157348632812,176128,0.1015770435333252,348160,0.30211520195007324,45170688
BBS12042.tfa,0.10159873962402344,339968,0.20203733444213867,348160,0.9042737483978271,49442816
BBS12043.tfa,0.6025896072387695,3612672,0.5067360401153564,81989632,13.433228969573975,58773504
BBS12044.tfa,0.4023628234863281,3579904,0.4035813808441162,270114816,7.522779941558838,52502528
