Dataset,ClustalW_Time,ClustalW_Memory,MUSCLE_Time,MUSCLE_Memory,T-Coffee_Time,T-Coffee_Memory
BB30001.tfa,16.337177276611328,4780032,51.28100562095642,902885376,664.352518081665,511832064
BB30002.tfa,1.9048304557800293,4026368,2.7209270000457764,621805568,58.466249227523804,84307968
BB30003.tfa,14.434466361999512,5046272,146.56634664535522,737562624,846.7076618671417,963170304
BB30004.tfa,3.5094892978668213,4091904,6.340811729431152,597893120,129.35901403427124,124489728
BB30005.tfa,16.739375352859497,5701632,42.7148175239563,727855104,664.1995344161987,487583744
BB30006.tfa,0.30224156379699707,3768320,1.004896640777588,136478720,6.017775774002075,55324672
BB30007.tfa,0.10149979591369629,282624,0.3022119998931885,62201856,2.808490514755249,53063680
BB30008.tfa,2.2065422534942627,4194304,5.133021116256714,566378496,74.40864586830139,100708352
BB30009.tfa,0.30198192596435547,3055616,1.3084595203399658,106532864,10.628390550613403,73400320
BB30010.tfa,7.0174291133880615,4534272,9.566234588623047,521592832,217.0073947906494,124698624
BB30011.tfa,3.0083820819854736,4083712,3.72920560836792,300122112,98.44184875488281,112799744
BB30012.tfa,3.809706687927246,4104192,7.742936611175537,443990016,146.91220045089722,169988096
BB30013.tfa,16.538493633270264,5074944,43.72912120819092,860180480,687.5140407085419,455548928
BB30014.tfa,0.6028568744659424,3289088,1.1102104187011719,95285248,21.25319743156433,76206080
BB30015.tfa,0.3019115924835205,3764224,0.8037655353546143,115441664,6.719210386276245,55169024
BB30016.tfa,0.6024525165557861,3862528,2.8141629695892334,323067904,25.570514917373657,88141824
BB30017.tfa,0.20142769813537598,3104768,0.30425143241882324,120512512,4.8137526512146,52674560
BB30018.tfa,7.417182207107544,4403200,13.688923120498657,560189440,247.27702069282532,181174272
BB30019.tfa,0.9032413959503174,3997696,2.2141659259796143,358064128,31.985708475112915,83660800
BB30020.tfa,0.402421236038208,3940352,2.0139341354370117,132198400,17.648491382598877,85123072
BB30021.tfa,4.511118412017822,4534272,45.98744773864746,341495808,267.5977985858917,477519872
BB30022.tfa,0.4025135040283203,3477504,1.1129646301269531,63057920,14.23731017112732,71950336
BB30023.tfa,2.6069891452789307,4128768,9.555144786834717,301613056,105.99434566497803,176644096
BB30024.tfa,5.914855241775513,5132288,20.600166082382202,592326656,245.06829166412354,215658496
BB30025.tfa,0.5021123886108398,3477504,3.219082832336426,130945024,30.48673915863037,117579776
BB30026.tfa,6.214962720870972,4784128,14.38427472114563,598335488,250.03693175315857,254590976
BB30027.tfa,0.10163354873657227,335872,0.10160303115844727,348160,1.304452657699585,48132096
BB30028.tfa,8.720473289489746,4227072,13.777979612350464,326082560,304.82671308517456,217554944
BB30029.tfa,15.435608625411987,5120000,35.405961751937866,928731136,553.8075678348541,364077056
BB30030.tfa,4.110151052474976,5021696,13.869468927383423,913584128,192.43645763397217,187305984
